0   8,88,32,0
1	38,8,188,1
2	40,16,190,2
3	42,24,191,3
4	43,32,193,4
5	45,40,195,5
6	47,48,197,6
7	48,56,199,7
8	50,64,200,8
9	51,72,202,9
10	53,80,204,10
11	55,88,206,11
12	56,96,207,12
13	58,104,209,13
14	59,112,211,14
15	61,120,213,15
16	63,128,214,16
17	64,136,216,17
18	66,144,218,18
19	67,152,220,19
20	69,160,221,20
21	73,176,201,21
22	76,191,182,22
23	80,206,162,23
24	83,221,142,24
25	87,236,122,25
26	121,240,136,26
27	154,244,150,27
28	188,248,163,28
29	222,252,177,29
30	255,255,191,30
31	255,244,168,31
32	255,233,144,32
33	254,222,121,33
34	254,211,98,34
35	253,200,74,35
36	247,185,71,36
37	240,171,67,37
38	234,157,64,38
39	227,142,60,39
40	221,128,57,40
41	214,114,53,41
42	208,99,49,42
43	206,84,43,43
44	210,69,34,44
45	213,54,24,45
46	217,39,15,46
47	221,24,6,47
48	224,25,46,48
49	227,45,136,49
50	229,64,227,50
100	0,0,0,100
